filename,description
video1.wav,a woman is speaking while dishes are being moved around in the background
video10.wav,a man is speaking and a dog is barking
video100.wav,someone is playing a drum while a woman is speaking in the background
video1000.wav,a woman is speaking and then a door opens and closes
video1001.wav,a crowd of people are cheering and chanting in a large room
video1002.wav,birds are chirping and people are talking in the background
video1003.wav,a child is speaking while a pig is oinking in the background
video1004.wav,a man is speaking and then he turns a page over and over
video1005.wav,a man is speaking while a dog is barking in the background
video1007.wav,a crowd of people are shouting and yelling
video1009.wav,a woman is giving a speech with a crowd of people
video1010.wav,a woman is speaking over an intercom to another man
video1011.wav,a man is speaking and then a door is opened and closed
video1012.wav,a woman is speaking while music is playing in the background
video1013.wav,a person is playing a stringed instrument while a man sings in the background
video1014.wav,a man is speaking and then a door is opened and closed
video1015.wav,a man is speaking while cars are driving in the background
video1016.wav,a man is speaking and he is talking about something
video1017.wav,a crowd of people are talking and yelling
video1018.wav,a man is giving a speech with his voice
video1019.wav,a man is giving a speech with his voice
video102.wav,a man is speaking while music plays in the background
video1020.wav,a man is giving a speech and he is speaking
video1021.wav,a man is speaking while music plays in the background
video1022.wav,a man is giving a speech with his voice
video1023.wav,a person is walking in the shower and the door opens and closes
video1024.wav,a man is speaking while a siren is blaring in the background
video1025.wav,a woman is speaking and a dog is barking in the background
video1026.wav,a man is giving a speech with his voice
video1027.wav,a person is playing a song on a piano
video1028.wav,a man is speaking while a video game is being played in the background
video1029.wav,a man is speaking and then a woman is talking
video103.wav,a woman is speaking over a drum while music plays in the background
video1030.wav,a man is speaking and then a gun is fired
video1031.wav,a man is speaking while cars drive by in the background
video1032.wav,a man is speaking while birds are chirping in the background
video1033.wav,a woman is giving a speech with a lot of people
video1034.wav,a man is speaking while music is playing in the background
video1035.wav,a man is speaking and then he turns on a piece of paper
video1036.wav,a man is speaking while another person is laughing in the background
video1037.wav,a woman is speaking over a tannoy system in the background
video1038.wav,a man is speaking while a crowd of people are laughing and talking
video1039.wav,a man is giving a speech with his voice
video104.wav,music is playing and a drum beat is being played
video1040.wav,a man is giving a speech and a crowd cheers
video1041.wav,a woman is speaking and a child is talking in the background
video1042.wav,a woman is speaking while music plays in the background
video1043.wav,a man is speaking and then a door is opened and closed
video1044.wav,a woman is speaking while a jet engine is running in the background
video1046.wav,a man is giving a speech and he is speaking
video1047.wav,a man is speaking while music is playing in the background
